bilberry_fruits,bilberry_fungi,bilberry_herbivory,bilberry_cover,cowberry_fruits,cowberry_fungi,cowberry_herbivory,cowberry_cover,thin,N,P,treatment_name,latitude,longitude,year,exp_name
11,0,7,35,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2015,787HilleE4
0,0,0,0,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2014,787HilleE4
0,2,3,30,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2014,787HilleE4
13,0,3,72,8,10,5,18,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2015,787HilleE4
29,1,4,46,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2015,787HilleE4
12,1,9,30,0,3,10,40,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2014,787HilleE4
4,10,7,78,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2014,787HilleE4
0,0,0,18,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2015,787HilleE4
2,0,2,15,6,2,2,37,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2014,787HilleE4
3,1,2,32,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2015,787HilleE4
21,0,1,31,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2015,787HilleE4
46,0,3,81,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2015,787HilleE4
24,0,2,91,8,8,0,14,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2015,787HilleE4
0,2,1,17,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2014,787HilleE4
0,0,2,7,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2014,787HilleE4
5,0,4,12,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2015,787HilleE4
9,1,1,85,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2015,787HilleE4
14,0,3,55,0,5,2,38,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2015,787HilleE4
19,0,1,47,0,1,1,13,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2015,787HilleE4
12,0,12,50,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2014,787HilleE4
9,0,3,89,4,5,3,11,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2015,787HilleE4
41,0,2,89,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2015,787HilleE4
50,0,3,82,8,6,7,51,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2015,787HilleE4
4,1,9,52,0,8,6,26,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2014,787HilleE4
0,0,0,3,0,0,0,10,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2015,787HilleE4
0,0,3,27,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2014,787HilleE4
34,0,6,37,0,6,4,30,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2014,787HilleE4
38,0,3,98,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2015,787HilleE4
4,0,5,75,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2015,787HilleE4
0,2,1,11,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2014,787HilleE4
0,0,4,12,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2014,787HilleE4
0,2,0,5,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2015,787HilleE4
7,0,12,44,0,2,3,18,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2014,787HilleE4
1,0,2,6,0,0,3,19,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2014,787HilleE4
52,6,3,67,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2015,787HilleE4
8,7,18,46,0,0,0,0,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2014,787HilleE4
146,0,3,99,0,0,0,0,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2015,787HilleE4
0,1,0,28,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2014,787HilleE4
101,0,0,100,0,0,0,0,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2015,787HilleE4
11,0,2,52,0,2,0,6,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2015,787HilleE4
8,2,5,37,0,5,5,37,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2014,787HilleE4
21,6,9,81,3,3,2,23,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2015,787HilleE4
0,0,0,2,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2015,787HilleE4
10,0,3,46,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2015,787HilleE4
1,0,9,56,0,2,1,10,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2014,787HilleE4
8,2,19,58,0,0,1,4,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2014,787HilleE4
25,0,3,44,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2015,787HilleE4
9,6,12,32,2,5,17,49,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2014,787HilleE4
14,4,11,43,6,12,9,42,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2014,787HilleE4
32,1,1,29,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2015,787HilleE4
24,0,1,93,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2015,787HilleE4
4,5,19,83,0,1,1,6,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2014,787HilleE4
85,0,8,94,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2015,787HilleE4
0,0,0,0,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2015,787HilleE4
12,4,10,55,0,0,1,4,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2014,787HilleE4
0,0,2,16,6,9,0,41,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2015,787HilleE4
11,0,10,85,0,1,5,11,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2014,787HilleE4
9,0,5,35,4,3,7,35,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2014,787HilleE4
0,4,1,51,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2015,787HilleE4
1,1,1,49,0,0,4,6,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2015,787HilleE4
7,0,0,46,0,5,1,21,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2015,787HilleE4
0,0,5,78,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2015,787HilleE4
4,8,6,54,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2014,787HilleE4
20,1,22,46,0,6,4,24,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2014,787HilleE4
28,2,0,73,0,3,4,26,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2015,787HilleE4
59,7,4,91,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2015,787HilleE4
3,0,1,73,0,3,2,12,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2015,787HilleE4
32,0,1,35,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2015,787HilleE4
8,7,18,80,0,0,1,2,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2014,787HilleE4
36,0,6,87,0,0,0,0,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2015,787HilleE4
18,1,1,79,0,3,0,6,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2015,787HilleE4
13,0,4,52,0,2,3,19,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2014,787HilleE4
0,1,2,3,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2015,787HilleE4
16,2,14,67,0,8,7,34,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2014,787HilleE4
3,2,4,53,0,0,1,9,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2014,787HilleE4
4,4,14,53,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2014,787HilleE4
18,3,8,47,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2014,787HilleE4
0,0,0,16,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2014,787HilleE4
41,0,7,97,0,0,1,2,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2015,787HilleE4
16,6,4,92,0,0,0,1,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2014,787HilleE4
0,0,0,0,0,0,0,0,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2014,787HilleE4
0,0,3,8,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2014,787HilleE4
0,2,1,11,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2014,787HilleE4
0,0,0,0,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2015,787HilleE4
16,35,9,81,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2014,787HilleE4
5,5,9,48,0,1,3,9,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2014,787HilleE4
45,34,4,72,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2015,787HilleE4
0,0,0,0,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2014,787HilleE4
22,21,1,56,0,6,3,20,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2015,787HilleE4
59,6,4,96,0,0,0,0,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2015,787HilleE4
9,18,6,64,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2014,787HilleE4
63,2,5,87,0,1,0,3,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2015,787HilleE4
0,0,0,0,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2015,787HilleE4
43,3,4,55,0,1,2,22,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2015,787HilleE4
0,0,0,0,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2014,787HilleE4
0,0,3,12,0,0,0,2,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2014,787HilleE4
14,3,7,38,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2014,787HilleE4
9,2,3,42,0,0,3,7,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2015,787HilleE4
39,5,20,82,1,8,4,13,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2014,787HilleE4
5,0,2,46,0,0,0,0,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2015,787HilleE4
0,7,15,70,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2014,787HilleE4
11,4,5,27,0,0,0,0,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2014,787HilleE4
7,0,15,95,4,2,0,19,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2015,787HilleE4
26,9,8,88,0,0,0,0,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2014,787HilleE4
3,7,4,54,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2014,787HilleE4
18,0,1,95,0,2,0,10,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2015,787HilleE4
78,2,5,94,6,1,0,2,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2015,787HilleE4
3,13,6,75,0,2,4,29,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2014,787HilleE4
0,1,2,15,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.7940518479,17.2093307229,2014,787HilleE4
4,8,9,67,0,0,0,0,no_thin,no_N,no_P,not_thinned,60.7940518479,17.2093307229,2014,787HilleE4
22,0,8,38,0,5,3,32,thin,no_N,no_P,thinning,60.7940518479,17.2093307229,2014,787HilleE4
0,0,0,0,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.7940518479,17.2093307229,2014,787HilleE4
0,2,2,8,0,0,3,8,thin,Nxtra,Pxtra,thinning+NP,60.3024672951,14.9602184593,2015,895Grangärde
0,0,0,0,0,0,0,0,no_thin,Nxtra,no_P,not_thinned+N,60.3024672951,14.9602184593,2015,895Grangärde
13,0,14,29,0,1,0,3,thin,Nxtra,no_P,thinning+N,60.3024672951,14.9602184593,2014,895Grangärde
0,0,0,0,0,4,9,73,thin,no_N,no_P,thinning,60.3024672951,14.9602184593,2014,895Grangärde
14,0,20,72,0,0,3,6,thin,no_N,no_P,thinning,60.3024672951,14.9602184593,2014,895Grangärde
10,0,5,16,2,11,3,41,thin,no_N,no_P,thinning,60.3024672951,14.9602184593,2015,895Grangärde
2,3,0,6,0,0,3,31,thin,Nxtra,Pxtra,thinning+NP,60.3024672951,14.9602184593,2015,895Grangärde
14,0,3,26,0,0,0,0,thin,no_N,no_P,thinning,60.3024672951,14.9602184593,2015,895Grangärde
0,0,5,9,0,0,0,7,thin,Nxtra,Pxtra,thinning+NP,60.3024672951,14.9602184593,2014,895Grangärde
18,15,16,75,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.3024672951,14.9602184593,2014,895Grangärde
0,0,1,1,0,6,4,43,thin,no_N,no_P,thinning,60.3024672951,14.9602184593,2015,895Grangärde
4,0,10,28,0,0,2,2,thin,no_N,no_P,thinning,60.3024672951,14.9602184593,2014,895Grangärde
18,0,14,78,0,1,0,2,thin,Nxtra,Pxtra,thinning+NP,60.3024672951,14.9602184593,2014,895Grangärde
0,0,0,0,0,1,0,9,thin,Nxtra,no_P,thinning+N,60.3024672951,14.9602184593,2014,895Grangärde
0,0,0,0,0,0,0,0,no_thin,Nxtra,no_P,not_thinned+N,60.3024672951,14.9602184593,2015,895Grangärde
4,0,1,21,0,7,3,26,thin,no_N,no_P,thinning,60.3024672951,14.9602184593,2015,895Grangärde
26,0,5,72,0,0,1,2,thin,Nxtra,no_P,thinning+N,60.3024672951,14.9602184593,2015,895Grangärde
40,0,13,68,0,0,4,12,thin,no_N,no_P,thinning,60.3024672951,14.9602184593,2014,895Grangärde
0,0,7,24,0,0,0,1,thin,Nxtra,Pxtra,thinning+NP,60.3024672951,14.9602184593,2014,895Grangärde
0,0,0,5,0,0,0,8,thin,Nxtra,Pxtra,thinning+NP,60.3024672951,14.9602184593,2015,895Grangärde
3,0,2,7,0,0,4,31,thin,Nxtra,Pxtra,thinning+NP,60.3024672951,14.9602184593,2014,895Grangärde
0,0,1,1,0,2,5,23,thin,Nxtra,no_P,thinning+N,60.3024672951,14.9602184593,2014,895Grangärde
0,0,0,0,0,0,0,0,thin,no_N,no_P,thinning,60.3024672951,14.9602184593,2015,895Grangärde
49,0,16,67,0,1,2,15,thin,Nxtra,Pxtra,thinning+NP,60.3024672951,14.9602184593,2014,895Grangärde
47,0,3,38,0,1,4,29,thin,Nxtra,Pxtra,thinning+NP,60.3024672951,14.9602184593,2015,895Grangärde
13,0,6,40,37,3,2,27,thin,Nxtra,Pxtra,thinning+NP,60.3024672951,14.9602184593,2015,895Grangärde
2,0,12,40,0,2,1,6,thin,Nxtra,Pxtra,thinning+NP,60.3024672951,14.9602184593,2014,895Grangärde
23,0,7,62,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.3024672951,14.9602184593,2015,895Grangärde
0,0,0,0,0,2,12,64,thin,Nxtra,no_P,thinning+N,60.3024672951,14.9602184593,2014,895Grangärde
0,0,3,3,0,0,2,4,thin,Nxtra,no_P,thinning+N,60.3024672951,14.9602184593,2014,895Grangärde
21,0,9,50,0,1,5,22,thin,Nxtra,Pxtra,thinning+NP,60.3024672951,14.9602184593,2014,895Grangärde
0,0,4,21,0,1,1,6,thin,Nxtra,no_P,thinning+N,60.3024672951,14.9602184593,2015,895Grangärde
8,0,5,26,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.3024672951,14.9602184593,2014,895Grangärde
5,0,5,16,0,13,15,50,thin,Nxtra,no_P,thinning+N,60.3024672951,14.9602184593,2014,895Grangärde
0,0,0,4,0,1,2,19,thin,no_N,no_P,thinning,60.3024672951,14.9602184593,2014,895Grangärde
0,0,8,22,0,2,8,39,thin,no_N,no_P,thinning,60.3024672951,14.9602184593,2014,895Grangärde
0,0,1,3,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.3024672951,14.9602184593,2015,895Grangärde
15,0,16,58,0,0,3,13,thin,Nxtra,no_P,thinning+N,60.3024672951,14.9602184593,2014,895Grangärde
0,1,0,18,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.3024672951,14.9602184593,2015,895Grangärde
9,18,11,88,0,3,8,15,thin,no_N,no_P,thinning,60.3024672951,14.9602184593,2014,895Grangärde
3,0,13,61,0,0,0,0,thin,no_N,no_P,thinning,60.3024672951,14.9602184593,2014,895Grangärde
5,0,11,52,0,2,6,26,thin,Nxtra,Pxtra,thinning+NP,60.3024672951,14.9602184593,2014,895Grangärde
0,2,5,12,0,0,0,0,thin,no_N,no_P,thinning,60.3024672951,14.9602184593,2014,895Grangärde
0,0,0,0,0,0,0,0,no_thin,Nxtra,no_P,not_thinned+N,60.3024672951,14.9602184593,2015,895Grangärde
16,11,4,72,0,5,2,18,thin,Nxtra,Pxtra,thinning+NP,60.3024672951,14.9602184593,2015,895Grangärde
36,3,4,81,0,0,1,6,thin,Nxtra,no_P,thinning+N,60.3024672951,14.9602184593,2015,895Grangärde
0,0,0,0,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.3024672951,14.9602184593,2015,895Grangärde
0,0,2,78,0,1,3,33,thin,no_N,no_P,thinning,60.3024672951,14.9602184593,2015,895Grangärde
1,0,1,14,0,0,0,0,thin,no_N,no_P,thinning,60.3024672951,14.9602184593,2015,895Grangärde
47,0,1,99,11,3,5,15,thin,no_N,no_P,thinning,60.3024672951,14.9602184593,2015,895Grangärde
15,0,7,42,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.3024672951,14.9602184593,2015,895Grangärde
0,0,3,17,0,0,2,20,thin,Nxtra,Pxtra,thinning+NP,60.3024672951,14.9602184593,2014,895Grangärde
3,0,5,38,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.3024672951,14.9602184593,2015,895Grangärde
0,0,0,0,0,0,0,0,no_thin,Nxtra,no_P,not_thinned+N,60.3024672951,14.9602184593,2015,895Grangärde
19,1,4,76,0,0,0,0,no_thin,Nxtra,no_P,not_thinned+N,60.3024672951,14.9602184593,2015,895Grangärde
0,0,1,4,2,16,5,71,thin,no_N,no_P,thinning,60.3024672951,14.9602184593,2015,895Grangärde
11,49,5,57,0,0,0,1,thin,Nxtra,Pxtra,thinning+NP,60.3024672951,14.9602184593,2015,895Grangärde
0,0,0,0,0,0,0,0,no_thin,Nxtra,no_P,not_thinned+N,60.3024672951,14.9602184593,2015,895Grangärde
0,0,0,0,0,0,0,0,no_thin,Nxtra,no_P,not_thinned+N,60.3024672951,14.9602184593,2014,895Grangärde
0,1,0,2,0,0,0,0,no_thin,Nxtra,no_P,not_thinned+N,60.3024672951,14.9602184593,2014,895Grangärde
0,0,1,3,0,1,5,16,thin,no_N,no_P,thinning,60.3024672951,14.9602184593,2014,895Grangärde
2,2,4,15,0,0,1,39,thin,Nxtra,Pxtra,thinning+NP,60.3024672951,14.9602184593,2015,895Grangärde
0,0,1,8,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.3024672951,14.9602184593,2015,895Grangärde
13,0,7,76,0,0,0,0,thin,no_N,no_P,thinning,60.3024672951,14.9602184593,2015,895Grangärde
8,1,2,43,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.3024672951,14.9602184593,2015,895Grangärde
0,0,0,0,0,0,0,0,no_thin,Nxtra,no_P,not_thinned+N,60.3024672951,14.9602184593,2014,895Grangärde
2,1,7,20,0,1,2,30,thin,Nxtra,Pxtra,thinning+NP,60.3024672951,14.9602184593,2014,895Grangärde
55,8,30,75,0,0,3,10,thin,Nxtra,no_P,thinning+N,60.3024672951,14.9602184593,2014,895Grangärde
0,0,1,12,0,0,0,0,thin,no_N,no_P,thinning,60.3024672951,14.9602184593,2014,895Grangärde
0,0,0,0,0,0,0,0,no_thin,Nxtra,no_P,not_thinned+N,60.3024672951,14.9602184593,2015,895Grangärde
0,0,0,0,1,0,2,18,thin,no_N,no_P,thinning,60.3024672951,14.9602184593,2014,895Grangärde
0,0,0,0,0,0,0,0,no_thin,Nxtra,no_P,not_thinned+N,60.3024672951,14.9602184593,2014,895Grangärde
0,0,0,0,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.3024672951,14.9602184593,2015,895Grangärde
0,0,0,0,0,0,0,0,no_thin,Nxtra,no_P,not_thinned+N,60.3024672951,14.9602184593,2014,895Grangärde
0,0,6,21,0,1,5,13,thin,no_N,no_P,thinning,60.3024672951,14.9602184593,2014,895Grangärde
42,0,3,95,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.3024672951,14.9602184593,2015,895Grangärde
16,0,11,32,0,1,2,22,thin,Nxtra,no_P,thinning+N,60.3024672951,14.9602184593,2014,895Grangärde
0,0,4,13,0,2,0,13,thin,Nxtra,Pxtra,thinning+NP,60.3024672951,14.9602184593,2014,895Grangärde
0,0,3,10,0,2,5,44,thin,Nxtra,no_P,thinning+N,60.3024672951,14.9602184593,2014,895Grangärde
0,0,1,4,0,0,6,37,thin,Nxtra,no_P,thinning+N,60.3024672951,14.9602184593,2014,895Grangärde
22,0,2,27,0,1,2,33,thin,no_N,no_P,thinning,60.3024672951,14.9602184593,2015,895Grangärde
0,0,0,0,0,0,0,0,no_thin,Nxtra,no_P,not_thinned+N,60.3024672951,14.9602184593,2015,895Grangärde
0,0,0,0,0,0,0,0,no_thin,Nxtra,no_P,not_thinned+N,60.3024672951,14.9602184593,2014,895Grangärde
1,1,7,23,0,0,0,0,no_thin,Nxtra,no_P,not_thinned+N,60.3024672951,14.9602184593,2014,895Grangärde
0,0,0,0,0,0,0,0,no_thin,Nxtra,no_P,not_thinned+N,60.3024672951,14.9602184593,2015,895Grangärde
0,0,9,41,0,0,2,7,thin,Nxtra,Pxtra,thinning+NP,60.3024672951,14.9602184593,2014,895Grangärde
0,0,0,4,0,4,5,55,thin,no_N,no_P,thinning,60.3024672951,14.9602184593,2014,895Grangärde
0,0,0,0,0,0,0,0,no_thin,Nxtra,no_P,not_thinned+N,60.3024672951,14.9602184593,2015,895Grangärde
4,0,2,9,0,0,0,2,thin,Nxtra,no_P,thinning+N,60.3024672951,14.9602184593,2015,895Grangärde
8,0,4,35,3,4,0,27,thin,no_N,no_P,thinning,60.3024672951,14.9602184593,2015,895Grangärde
78,0,1,88,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.3024672951,14.9602184593,2015,895Grangärde
0,0,0,0,0,0,0,0,no_thin,Nxtra,no_P,not_thinned+N,60.3024672951,14.9602184593,2015,895Grangärde
0,0,0,0,0,0,0,0,no_thin,Nxtra,no_P,not_thinned+N,60.3024672951,14.9602184593,2014,895Grangärde
18,0,1,66,0,2,1,15,thin,Nxtra,no_P,thinning+N,60.3024672951,14.9602184593,2015,895Grangärde
0,0,0,0,0,0,0,0,no_thin,Nxtra,no_P,not_thinned+N,60.3024672951,14.9602184593,2015,895Grangärde
0,0,0,0,12,5,0,47,thin,no_N,no_P,thinning,60.3024672951,14.9602184593,2015,895Grangärde
5,2,6,23,0,0,0,0,no_thin,Nxtra,no_P,not_thinned+N,60.3024672951,14.9602184593,2014,895Grangärde
0,4,5,31,0,0,0,0,no_thin,Nxtra,no_P,not_thinned+N,60.3024672951,14.9602184593,2014,895Grangärde
0,0,0,0,0,0,0,0,no_thin,Nxtra,no_P,not_thinned+N,60.3024672951,14.9602184593,2014,895Grangärde
10,0,2,56,0,2,5,10,thin,Nxtra,no_P,thinning+N,60.3024672951,14.9602184593,2015,895Grangärde
0,0,4,47,0,1,4,56,thin,no_N,no_P,thinning,60.3024672951,14.9602184593,2015,895Grangärde
1,1,4,21,0,0,0,0,thin,Nxtra,no_P,thinning+N,60.3024672951,14.9602184593,2015,895Grangärde
0,0,4,32,0,0,0,0,no_thin,Nxtra,no_P,not_thinned+N,60.3024672951,14.9602184593,2015,895Grangärde
0,0,1,7,0,0,1,5,thin,Nxtra,Pxtra,thinning+NP,60.3024672951,14.9602184593,2014,895Grangärde
0,0,0,0,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,60.3024672951,14.9602184593,2015,895Grangärde
0,0,0,0,0,0,0,0,no_thin,Nxtra,no_P,not_thinned+N,60.3024672951,14.9602184593,2014,895Grangärde
0,0,0,0,0,0,0,0,no_thin,Nxtra,no_P,not_thinned+N,60.3024672951,14.9602184593,2014,895Grangärde
0,0,0,0,0,0,0,0,no_thin,Nxtra,no_P,not_thinned+N,60.3024672951,14.9602184593,2014,895Grangärde
9,0,15,56,0,2,3,15,thin,Nxtra,no_P,thinning+N,60.3024672951,14.9602184593,2014,895Grangärde
16,4,6,85,0,1,0,2,thin,Nxtra,Pxtra,thinning+NP,60.3024672951,14.9602184593,2015,895Grangärde
0,0,0,1,0,0,0,0,no_thin,Nxtra,no_P,not_thinned+N,60.3024672951,14.9602184593,2015,895Grangärde
0,0,3,7,0,0,3,40,thin,Nxtra,no_P,thinning+N,60.3024672951,14.9602184593,2014,895Grangärde
2,30,7,92,0,1,0,3,thin,no_N,no_P,thinning,58.3543108922,14.3012136976,2014,900Grevbäck
0,6,11,92,0,0,0,0,thin,Nxtra,no_P,thinning+N,58.3543108922,14.3012136976,2014,900Grevbäck
2,25,7,61,0,1,3,4,no_thin,no_N,no_P,not_thinned,58.3543108922,14.3012136976,2014,900Grevbäck
6,25,16,70,0,0,0,0,no_thin,no_N,no_P,not_thinned,58.3543108922,14.3012136976,2014,900Grevbäck
43,24,4,79,0,1,0,6,thin,no_N,no_P,thinning,58.3543108922,14.3012136976,2014,900Grevbäck
9,27,14,78,0,0,0,0,no_thin,no_N,no_P,not_thinned,58.3543108922,14.3012136976,2014,900Grevbäck
0,0,0,8,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,58.3543108922,14.3012136976,2014,900Grevbäck
3,0,9,89,0,0,0,0,thin,Nxtra,no_P,thinning+N,58.3543108922,14.3012136976,2014,900Grevbäck
0,7,1,12,0,0,0,0,thin,Nxtra,no_P,thinning+N,58.3543108922,14.3012136976,2014,900Grevbäck
0,0,0,0,0,0,0,0,thin,Nxtra,Pxtra,thinning+NP,58.3543108922,14.3012136976,2014,900Grevbäck
